"i";"laser_0"
0;0
1;1.36198e-19
2;0.00112142
3;0.00147065
4;0.00192047
5;0.00211503
6;0.00299054
7;0.00315683
8;0.00362718
9;0.00375373
10;0.00408892
11;0.00414628
12;0.00431394
13;0.00442609
14;0.00481348
15;0.00740372
16;0.00766675
17;0.00774456
18;0.00864705
19;0.0113187
20;0.016458
21;0.0206072
22;0.0226199
23;0.023369
24;0.0238595
25;0.0248617
26;0.0260946
27;0.0262887
28;0.0265479
29;0.0292429
30;0.0332203
31;0.0404047
32;0.0417311
33;0.0417809
34;0.0434046
35;0.0434253
36;0.0436721
37;0.0437804
38;0.0438501
39;0.044046
40;0.0441183
41;0.0444479
42;0.0444525
43;0.0445887
44;0.0448025
45;0.0450129
46;0.0453537
47;0.0457506
48;0.0462929
49;0.0463202
50;0.0467973
51;0.0470094
52;0.0475597
53;0.0484116
54;0.048541
55;0.0488683
56;0.0495581
57;0.0497456
58;0.0500824
59;0.0508874
60;0.0511682
61;0.0513326
62;0.0520595
63;0.0523363
64;0.0526738
65;0.0534177
66;0.055022
67;0.0563015
68;0.0566851
69;0.0566964
70;0.056975
71;0.0572552
72;0.0578119
73;0.0589154
74;0.0596934
75;0.061208
76;0.0623561
77;0.0624014
78;0.0625847
79;0.0627733
80;0.0631211
81;0.0633694
82;0.0636903
83;0.0637992
84;0.0638101
85;0.0638856
86;0.0641596
87;0.0644664
88;0.0645318
89;0.0652417
90;0.0655458
91;0.0658023
92;0.0666105
93;0.0674985
94;0.0680959
95;0.0694804
96;0.0698247
97;0.0701814
98;0.0703546
99;0.0704345
100;0.0709918
101;0.0710496
102;0.071089
103;0.0712556
104;0.0717753
105;0.0717918
106;0.0720535
107;0.0721276
108;0.0724188
109;0.0726343
110;0.0730033
111;0.0732808
112;0.0733984
113;0.0734737
114;0.0735218
115;0.0738125
116;0.0749521
117;0.0750332
118;0.0753837
119;0.077789
120;0.0808512
121;0.0868705
122;0.0921022
123;0.0951155
124;0.0957497
125;0.0971808
