"i";"rd";"td"
0;0;0
1;0;0
2;0;0
3;0;0
4;0;0
5;0;0
6;0;0
7;0;0
8;0;0
9;0;0
10;0;0
11;0;0
12;0;0
13;0;0
14;0;0
15;0;0
16;0;0
17;0;0
18;0;0
19;0;0
20;0;0
21;0;0
22;0;0
23;0;0
24;0;0
25;0;0
26;0;0
27;0;0
28;0;0
29;0;0
30;0;0
31;0;0
32;0;0
33;0;0
34;0;0
35;0;0
36;0;0
37;0;0
38;0;0
39;0;0
40;0;0
41;0;0
42;0;0
43;0;0
44;0;0
45;0;0
46;0;0
47;0;0
48;0;0
49;0;0
50;0;0
51;0;0
52;0;0
53;0;0
54;0;0
55;0;0
56;0;0
57;0;0
58;0;0
59;0;0
60;0;0
61;0;0
62;0;0
63;0;0
64;0;0
65;0;0
66;0;0
67;0;0
68;0;0
69;0;0
70;0;0
71;0;0
72;0;0
73;0;0
74;0;0
75;0;0
76;0;0
77;0;0
78;0;0
79;0;0
80;0;0
81;0;0
82;0;0
83;0;0
84;0;0
85;0;0
86;0;0
87;0;0
88;0;0
89;0;0
90;0;0
91;0;0
92;0;0
93;0;0
94;0;0
95;0;0
96;0;0
97;0;0
98;0;0
99;0;0
100;0;0
101;0;0
102;0;0
103;0;0
104;0;0
105;0;0
106;0;0
107;0;0
108;0;0
109;0;0
110;0;0
111;0;0
112;0;0
113;0;0
114;0;0
115;0;0
116;0;0
117;0;0
118;0;0
119;0;0
120;0;0
121;0;0
122;0;0
123;0;0
124;0;0
125;0;0
126;0;0
127;0;0
128;0;0
129;0;0
130;0;0
131;0;0
132;0;0
133;0;0
134;0;0
135;0;0
136;0;0
137;0;0
138;0;0
139;0;0
140;0;0
141;0;0
142;0;0
143;0;0
144;0;0
145;0;0
146;0;0
147;0;0
148;0;0
149;0;0
150;0;0
151;0;0
152;0;0
153;0;0
154;0;0
155;0;0
156;0;0
157;0;0
158;0;0
159;0;0
160;0;0
161;0;0
162;0;0
163;0;0
164;0;0
165;0;0
166;0;0
167;0;0
168;0;0
169;0;0
170;0;0
171;0;0
172;0;0
173;0;0
174;0;0
175;0;0
176;0;0
177;0;0
178;0;0
179;0;0
180;0;0
181;0;0
182;0;0
183;0;0
184;0;0
185;0;0
186;0;0
187;0;0
188;0;0
189;0;0
190;0;0
191;0;0
192;0;0
193;0;0
194;0;0
195;0;0
196;0;0
197;0;0
198;0;0
199;0;0
200;0;0
201;0;0
202;0;0
203;0;0
204;0;0
205;0;0
206;0;0
207;0;0
208;0;0
209;0;0
210;0;0
211;0;0
212;0;0
213;0;0
214;0;0
215;0;0
216;0;0
217;0;0
218;0;0
219;0;0
220;0;0
221;0;0
222;0;0
223;0;0
224;0;0
225;0;0
226;0;0
227;0;0
228;0;0
229;0;0
230;0;0
231;0;0
232;0;0
233;0;0
234;0;0
235;0;0
236;0;0
237;0.00103558;0.00123906
238;0.00390999;0.00319906
239;0.00241389;0.00365238
240;0.00637468;0.00573141
241;0.00587246;0.00695559
242;0.00303356;0.00360752
243;0.00379567;0.00806031
244;0.00304377;0.00392267
245;0.00292164;0.00218056
246;0.00476072;0.00403599
247;0.00273198;0.00276309
248;0.000558244;0.00175818
249;0.000626185;0.00378801
250;0.0008719;0.001029
251;0.00404716;0.000856432
252;0.000933003;0.00412849
253;0.00145016;0.00417431
254;0.00413211;0.000184314
255;0.00394059;0.00378604
256;0.00678396;0.000510224
257;0.0103606;0.00266886
258;0.00268655;0.003772
259;0.00331011;0.00614738
260;0.00205745;0.00486041
261;0.00399667;0.00452564
262;0.00372543;0.0062731
263;0.00251724;0.0111618
264;0.00285432;0.0015408
265;0.00630538;0.00677369
266;0.00251976;0.00212577
267;0.00155175;0.000569347
268;0.00441362;0.0068095
269;0.00795018;0.00113906
270;0.0115228;0.00391025
271;0.0015596;0.000341575
272;0.000432378;0.00373543
273;0.0025921;0.00158294
274;0.004253;0.00618775
275;0.00068712;0.00296203
276;0.00204007;0.00639736
277;0.00335122;0.00277978
278;0.00401985;0.0114868
279;0.00188829;0.00862435
280;0.000263759;0.0134116
281;0.00370431;0.0125053
282;0.00612701;0.00387895
283;0.000850887;0.0019648
284;0.00283138;0.00987983
285;0.00143239;0.00223086
286;0.00510017;0.00313813
287;0.00328437;0.00022721
288;0.00466554;0.00729508
289;0.00589945;0.00343401
290;0.00384867;0.000947352
291;0.000343526;0.00270602
292;0.0024251;0.00240131
293;0.00157385;0.00512125
294;0.00125399;0.00140623
295;0.00298723;0.00764998
296;0.000632485;0.0046442
297;0.000695761;0.0071237
298;0.000995526;0.0102274
299;0.00115359;0.0145803
300;0.00209212;0.0127407
301;0.0043617;0.000862658
302;0.00344099;0.0123138
303;0.00397957;0.000198923
304;0.00625218;0.000393832
305;0.00131306;0.00341777
306;0.00146879;0.00592837
307;0.000714935;0.0111913
308;0.000414931;0.00595487
309;0.00421331;0.00991642
310;0.000155044;0.00183689
311;0.0032097;0.00345981
312;0.00635368;0.0223104
313;0.00120234;0.0130494
314;0.00250427;0.023261
315;0.00342881;0.0105253
316;0.00250215;0.00932591
317;0.00173527;0.00494116
318;0.0024677;0.0167001
319;0.00603208;0.00523839
320;0.00418967;0.00106304
321;0.00591503;0.000387438
322;9.26582e-05;0.00661897
323;0.00388357;0.0091653
324;0.00124812;0.00158891
325;0.00541156;0.0194259
326;0.00262336;0.00738184
327;0.000360985;0.0250378
328;0.00045246;0.0230071
329;0.000403945;0.0111239
330;0.00345832;0.00879705
331;0.00523679;0.00188444
332;0.00696626;0.0167846
333;0.00341189;0.00260181
334;0.00306119;0.000779201
335;0.00163616;0.0048624
336;0.00301193;0.000562309
337;0.00329102;0.00135394
338;0.00443018;0.00485529
339;0.00290827;0.0057042
340;0.0056962;0.015987
341;0.00431209;0.00344887
342;0.00138072;0.00245175
343;0.000806847;0.000446262
344;0.000422597;0.00602029
345;0.0020131;0.00144346
346;0.00382643;0.00749378
347;0.00225123;0.000249199
348;0.0064902;0.00680961
349;0.00292404;0.000585107
350;0.00428486;0.00265117
351;0.0056366;0.00637438
352;0.00168769;0.00201517
353;0.00215379;0.00446164
354;0.00150046;0.00090158
355;0.00347875;0.000926835
356;0.00482042;0.00172152
357;0.00123331;0.00334214
358;0.00253632;0.00110004
359;0.00377232;0.00424738
360;0.00598263;0.0110146
361;0.00101658;0.00181314
362;0.00469104;0.000380182
363;0.00322346;0.00185397
364;0.00384674;0.00147506
365;0.00168704;0.00360183
366;0.00475827;0.0104987
367;0.00741806;0.000771646
368;0.00517508;0.000264218
369;0.00801173;0.0027964
370;0.00308412;0.00413184
371;0.00111893;0.0043497
372;0.00459368;0.00209774
373;0.00319303;0.0032214
374;0.00306062;0.00814784
375;0.00246494;0.000165953
376;0.0036064;0.00191119
377;0.000220421;0.00160352
378;0.00246706;0.0034001
379;0.00152651;0.00542326
